english	translation	category	sub_category	source
The body of a Dwarf savaged by Goblins.	ゴブリンにおそわれたドワーフのからだ。	examine	item	Dwarf remains
Good for repairing broken cannons.	こわれたたいほうのしゅうりにやくだつ。	examine	item	Toolkit
Ammo for the Dwarf Cannon.	ドワーフキャノンのだんやく。	examine	item	Cannonball
Construction notes for Dwarf cannon ammo.	ドワーフキャノンのだんやくのつくりかたメモ。	examine	item	Nulodion's notes
Used to make cannon ammunition.	たいほうのだんやくをつくるのにつかう。	examine	item	Ammo mould
An old note book.	ふるいノートだ。	examine	item	Instruction manual
The cannon is built on this.	このうえにたいほうをつくる。	examine	item	Cannon base
The mounting for the multicannon.	マルチキャノンのとりつけぶぶん。	examine	item	Cannon stand
The barrels of the multicannon.	マルチキャノンのほづつ。	examine	item	Cannon barrels
This powers the multicannon.	これでマルチキャノンをうごかす。	examine	item	Cannon furnace
A metal railing replacement.	きんぞくのてすりのかえ。	examine	item	Railing
A cloth given to me by Sir Galahad.	サー・ガラハッドにもらったぬの。	examine	item	Holy table napkin
A small tin whistle.	ちいさな tin whistleだ。	examine	item	Magic whistle
I wonder what happens when I ring it?	これをならしたらどうなるんだろう？	examine	item	Grail bell
It will point the way for me.	みちをおしえてくれる。	examine	item	Magic gold feather
A holy and powerful artefact.	しんせいな and powerful artefactだ。	examine	item	Holy grail
A cog from some machinery.	some machineryからの cogだ。	examine	item	White cog
Doesn't look very tasty.	あまりおいしそうじゃない。	examine	item	Rat poison
Wormy.	むしがいっぱいいる。	examine	item	Red vine worm
Hemenster fishing contest trophy.	ヘムンスターつりたいかいのしょう。	examine	item	Fishing trophy
Pass to the Hemenster fishing contest.	ヘムンスターつりたいかいへのチケット。	examine	item	Fishing pass
Drives away all known 6 legged creatures.	ろくほんのあしをもつすべてのいきものをおいはらう。	examine	item	Insect repellent
It's a bucket of wax.	ろうのバケツだ。	examine	item	Bucket of wax
A lit spooky candle.	ひのついたぶきみなろうそく。	examine	item	Lit black candle
A lit candle.	ひのついたろうそく。	examine	item	Lit candle
This used to belong to King Arthur.	これはおうさまアーサーのものだった。	examine	item	Excalibur
A candle.	ろうそく。	examine	item	Candle
A spooky candle.	ぶきみなろうそく。	examine	item	Black candle
I can make some arrows with these.	これをつかってやをつくることができる。	examine	item	Bronze arrowtips
Opal bolt tips.	オパールのボルトチップ。	examine	item	Opal bolt tips
Pearl bolt tips.	パールのボルトチップ。	examine	item	Pearl bolt tips
I can make bolts with these.	これをつかってボルトをつくることができる。	examine	item	Barb bolttips
I need to find a string for this.	このゆみのために、ひもをみつけるひつようがある。	examine	item	Longbow (u)
A wooden arrow shaft.	もくせいのやのシャフト。	examine	item	Arrow shaft
A wooden arrow shaft with flights attached.	はねがついたもくせいのやのシャフト。	examine	item	Headless arrow
An unstrung oak shortbow; I need a bowstring for this.	ひものついていないオークのみじかいゆみ。ゆみのひもがひつようだ。	examine	item	Oak shortbow (u)
An unstrung oak longbow; I need a bowstring for this.	ひものついていないオークのながいゆみ。ゆみのひもがひつようだ。	examine	item	Oak longbow (u)
An unstrung willow longbow; I need a bowstring for this.	ひものついていないヤナギのながいゆみ。ゆみのひもがひつようだ。	examine	item	Willow longbow (u)
An unstrung willow shortbow; I need a bowstring for this.	ひものついていないヤナギのみじかいゆみ。ゆみのひもがひつようだ。	examine	item	Willow shortbow (u)
An unstrung maple longbow; I need a bowstring for this.	ひものついていないメープルのながいゆみ。ゆみのひもがひつようだ。	examine	item	Maple longbow (u)
An unstrung maple shortbow; I need a bowstring for this.	ひものついていないメープルのみじかいゆみ。ゆみのひもがひつようだ。	examine	item	Maple shortbow (u)
An unstrung yew longbow; I need a bowstring for this.	ひものついていないイチイのながいゆみ。ゆみのひもがひつようだ。	examine	item	Yew longbow (u)
An unstrung yew shortbow; I need a bowstring for this.	ひものついていないイチイのみじかいゆみ。ゆみのひもがひつようだ。	examine	item	Yew shortbow (u)
An unstrung magic longbow; I need a bowstring for this.	ひものついていないまほうのながいゆみ。ゆみのひもがひつようだ。	examine	item	Magic longbow (u)
An unstrung magic shortbow; I need a bowstring for this.	ひものついていないまほうのみじかいゆみ。ゆみのひもがひつようだ。	examine	item	Magic shortbow (u)
A helmet, as worn by the minions of General Khazard.	helmet, as worn by the minions of General Khazardだ。	examine	item	Khazard helmet
Armour, as worn by the minions of General Khazard.	カザードしょうぐんのてしたがきるよろい。	examine	item	Khazard armour
These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).	ハザードたたかいあれなのさっきゅうをあけるかぎだ（ファイトアレーナくえすとでつかう）。	examine	item	Khazard cell keys
A bottle of Khazard's worst brew.	Khazard's worst brewの びんだ。	examine	item	Khali brew
Can only be fired from yew, magic, dark or twisted bows.	いちい、ぎりし、くろい、またはねじれたゆみからしかはっしゃできない。	examine	item	Ice arrows
A lever to open something perhaps?	なにかをひらくくためのレバーかな？	examine	item	Lever
The power in this staff causes it to vibrate gently.	このつえのちからはそれをおだやかにぶるぶるさせる。	examine	item	Staff of armadyl
It catches the light! (Quick access into the Temple of Ikov).	ひかりをつかむ！（アイコフのしんでんへのすばやいアクセス）。	examine	item	Shiny key
An amulet made by Lucien.	おまもりつくられたルシエン。	examine	item	Pendant of lucien
Worn by followers of Armadyl.	きているしたがうアルマディール。	examine	item	Armadyl pendant
Magic boots that make you lighter than normal.	ふつうよりかるくしてくれるまほうのブーツ。	examine	item	Boots of lightness
It's very soft!	すごくやらかい！	examine	item	Child's blanket
I need another ingredient to finish this Guam potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Guam potion (unf)
I need another ingredient to finish this Marrentill potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Marrentill potion (unf)
I need another ingredient to finish this Tarromin potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Tarromin potion (unf)
I need another ingredient to finish this Harralander potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Harralander potion (unf)
I need another ingredient to finish this Ranarr potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Ranarr potion (unf)
I need another ingredient to finish this Irit potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Irit potion (unf)
I need another ingredient to finish this Avantoe potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Avantoe potion (unf)
I need another ingredient to finish this Kwuarm potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Kwuarm potion (unf)
I need another ingredient to finish this Cadantine potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Cadantine potion (unf)
I need another ingredient to finish this Dwarf Weed potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Dwarf weed potion (unf)
I need another ingredient to finish this Torstol potion.	このやくをおわらせるために、ほかのざいりょうがひつようだ。	examine	item	Torstol potion (unf)
4 doses of Strength potion.	ちからのやくじゅのよっつようりょう。	examine	item	Strength potion(4)
3 doses of Strength potion.	ちからのやくじゅのみっつようりょう。	examine	item	Strength potion(3)
2 doses of Strength potion.	ちからのやくじゅのふたつようりょう。	examine	item	Strength potion(2)
1 dose of Strength potion.	ちからのやくじゅのひとつようりょう。	examine	item	Strength potion(1)
3 doses of Attack potion.	こうげきのやくじゅのみっつようりょう。	examine	item	Attack potion(3)
2 doses of Attack potion.	こうげきのやくじゅのふたつようりょう。	examine	item	Attack potion(2)
1 dose of Attack potion.	こうげきのやくじゅのひとつようりょう。	examine	item	Attack potion(1)
3 doses of restore potion.	かいふくのやくじゅのみっつようりょう。	examine	item	Restore potion(3)
2 doses of restore potion.	かいふくのやくじゅのふたつようりょう。	examine	item	Restore potion(2)
1 dose of restore potion.	かいふくのやくじゅのひとつようりょう。	examine	item	Restore potion(1)
3 doses of Defence potion.	ぼうぎょのやくじゅのみっつようりょう。	examine	item	Defence potion(3)
2 doses of Defence potion.	ぼうぎょのやくじゅのふたつようりょう。	examine	item	Defence potion(2)
1 dose of Defence potion.	ぼうぎょのやくじゅのひとつようりょう。	examine	item	Defence potion(1)
3 doses of Prayer restore potion.	きとうかいふくのやくじゅのみっつようりょう。	examine	item	Prayer potion(3)
2 doses of Prayer restore potion.	きとうかいふくのやくじゅのふたつようりょう。	examine	item	Prayer potion(2)
1 dose of Prayer restore potion.	きとうかいふくのやくじゅのひとつようりょう。	examine	item	Prayer potion(1)
3 doses of super Attack potion.	スーパーこうげきのやくじゅのみっつようりょう。	examine	item	Super attack(3)
2 doses of super Attack potion.	スーパーこうげきのやくじゅのふたつようりょう。	examine	item	Super attack(2)
1 dose of super Attack potion.	スーパーこうげきのやくじゅのひとつようりょう。	examine	item	Super attack(1)
3 doses of Fishing potion.	つりのやくじゅのみっつようりょう。	examine	item	Fishing potion(3)
2 doses of Fishing potion.	つりのやくじゅのふたつようりょう。	examine	item	Fishing potion(2)
1 dose of Fishing potion.	つりのやくじゅのひとつようりょう。	examine	item	Fishing potion(1)
3 doses of super Strength potion.	スーパーちからのやくじゅのみっつようりょう。	examine	item	Super strength(3)
2 doses of super Strength potion.	スーパーちからのやくじゅのふたつようりょう。	examine	item	Super strength(2)
1 dose of super Strength potion.	スーパーちからのやくじゅのひとつようりょう。	examine	item	Super strength(1)
3 doses of super Defence potion.	スーパーぼうぎょのやくじゅのみっつようりょう。	examine	item	Super defence(3)
2 doses of super Defence potion.	スーパーぼうぎょのやくじゅのふたつようりょう。	examine	item	Super defence(2)
1 dose of super Defence potion.	スーパーぼうぎょのやくじゅのひとつようりょう。	examine	item	Super defence(1)
3 doses of ranging potion.	えんとうのやくじゅのみっつようりょう。	examine	item	Ranging potion(3)
2 doses of ranging potion.	えんとうのやくじゅのふたつようりょう。	examine	item	Ranging potion(2)
1 dose of ranging potion.	えんとうのやくじゅのひとつようりょう。	examine	item	Ranging potion(1)
3 doses of antipoison potion.	どくけしやくじゅのみっつようりょう。	examine	item	Antipoison(3)
2 doses of antipoison potion.	どくけしやくじゅのふたつようりょう。	examine	item	Antipoison(2)
1 dose of antipoison potion.	どくけしやくじゅのひとつようりょう。	examine	item	Antipoison(1)
3 doses of super antipoison potion.	スーパーどくけしやくじゅのみっつようりょう。	examine	item	Superantipoison(3)
2 doses of super antipoison potion.	スーパーどくけしやくじゅのふたつようりょう。	examine	item	Superantipoison(2)
1 dose of super antipoison potion.	スーパーどくけしやくじゅのひとつようりょう。	examine	item	Superantipoison(1)
For use on daggers and projectiles.	ななぐり、はじゃきぶつにようする。	examine	item	Weapon poison
3 doses of Zamorak brew.	ザモラクブリューの3ふく。	examine	item	Zamorak brew(3)
2 doses of Zamorak brew.	ザモラクブリューの2ふく。	examine	item	Zamorak brew(2)
1 dose of Zamorak brew.	ザモラクブリューの1ふく。	examine	item	Zamorak brew(1)
This is meant to be good for spots.	これはふきでものにいいはずだ。	examine	item	Potion
A cup of a strange brew...	a strange brewの カップだ。	examine	item	Poison chalice
It needs cleaning.	せいけつにするひつようがある。	examine	item	Grimy guam leaf
It seems to be looking at me.	ぼくをみてるみたいだ。	examine	item	Eye of newt
Ewww!	ぎゃあ！	examine	item	Red spiders' eggs
The root of a limpwurt plant.	りんぷわーとしょくぶつのね。	examine	item	Limpwurt root
A glass vial containing water.	waterが はいった ガラスの しゃけいだ。	examine	item	Vial of water
An empty glass vial.	からっぽのガラスのこびん。	examine	item	Vial
Strange spiky grass.	とげとげしたふしぎなくさ。	examine	item	Snape grass
I can grind things for potions in this.	これで ポーションの ざいりょうを すりつぶせる。	examine	item	Pestle and mortar
Finely ground horn of Unicorn.	ユニコーンのほねをこまかくひいたもの。	examine	item	Unicorn horn dust
This horn has restorative properties.	このつのはかいふくりょくがある。	examine	item	Unicorn horn
Sour berries, used in potions.	ポーションにつかうすっぱいべりー。	examine	item	White berries
Finely ground scale of Dragon.	ドラゴンのりんをこまかくひいたもの。	examine	item	Dragon scale dust
A large shiny scale.	おおきな shiny scaleだ。	examine	item	Blue dragon scale
An evil wine for an evil god.	あくいのぶどうしゅ。	examine	item	Wine of zamorak
They don't look very ripe.	あまりじゅくしてないみたいだ。	examine	item	Jangerberries
A bitter green herb.	bitter green herbだ。	examine	item	Guam leaf
A herb used in poison cures.	poison curesに つかう herbだ。	examine	item	Marrentill
A useful herb.	useful herbだ。	examine	item	Tarromin
A powerful herb.	つよい herbだ。	examine	item	Kwuarm
It looks like part of a machine.	きかいのぶぶんみたいだ。	examine	item	Pressure gauge
Keeps your pet fish strong and healthy.	ペットのさかなをつよく、けんこうにたもつ。	examine	item	Fish food
This stuff looks nasty.	このぶつきはいやなかんじがする。	examine	item	Poison
Doesn't seem very nice to the poor fishes.	びんぼうなさかなたちにはやさしくないみたいだ。	examine	item	Poisoned fish food
A slightly smelly key (Used in the Ernest the Chicken quest).	slightly smelly keyだ。	examine	item	Key
It's slightly charred.	すこしこげてる。	examine	item	Rubber tube
It's pretty full.	かなりいっぱいだ。	examine	item	Oil can
A sharp cattleprod.	するどい cattleprodだ。	examine	item	Cattleprod
