english	translation	category	sub_category	source
Hello.	こんにちは。	dialogue	'Beedy-eye' Jones	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	ああ、ごきげんよう［ミレディ／シラー］！みなれれないかおだが、もしかしてルナアイルのふねでわれ々にごうりゅうしたのか？	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No, Lokar offered me a lift in Rellekka actually.	いや、みはロカーがレレッカでのりせてくれるといってくれたんだ。	dialogue	'Beedy-eye' Jones	Player
Oh, really? You don't look like a Fremennik to me!	へえ、そうなんだ。わたしにはあなたがフレメニックにはみえない！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well... I kind of am, and I kind of aren't. It's a long story.	まあ... じぶんはそうだし、そうじゃない。はなしせばながくなる。	dialogue	'Beedy-eye' Jones	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	それじゃあ、じかんがなくてききけなくてざんねんだ！またかいおう、わかきほんとうはフレメニクではないフレメニクよ！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
'Bye.	さようなら。	dialogue	'Beedy-eye' Jones	Player
Aren't you a little short for a pirate?	かいぞくにしてはせがていくないか？	dialogue	'Beedy-eye' Jones	Player
My mother was a gnome. Apparently it was a very painful birth.	ははノームだった。とてもいたみいしゅっさんだったらしい。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
More info than I wanted, thanks!	ほしいしかったいじょうのじょうほう、ありがとう！	dialogue	'Beedy-eye' Jones	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!	あーあ！けいほうをなきらせて！みっこうしゃがじょうせんちゅう！みっこうしゃがじょうせんちゅう！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No! I'm not a stowaway! Honest! I was invited here!	いや、ちがいう！みっこうしゃではないよ！しょうじきに！ここにしょうたいされたんだよ！	dialogue	'Beedy-eye' Jones	Player
Oh, sorry, my mistake then.	ああ、もうしわけない、おれのミスだった。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You must admit you do look a lot like a stowaway though.	でも、みっこうしゃににているのはみとめざるをえないね。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Why, what do they usually look like?	ふだんはどんなかおをしている？	dialogue	'Beedy-eye' Jones	Player
Erm... I've never actually met one...	あの... じっさいにかいったことはないけど...	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Okay then...	それならいい。	dialogue	'Beedy-eye' Jones	Player
Brrrr! Its cold up here!	ブルルルル！ここはさむいよ！	dialogue	'Beedy-eye' Jones	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!	これがさむいとおもうか？アケロンのじょうでは、とてもさむいくなるので、はなしをするとことばがめのまえでくうちゅうにこおりつくのがみえるのよ。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
REALLY?	ほんとうか？	dialogue	'Beedy-eye' Jones	Player
Nah, not really. I was exaggerating for humourous effect. It is very very cold though!	いや、そんなわけないでしょう。ユーモアのためにだいげさにいったんだ。でもとてもさむい！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Hello.	こんにちは。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
So... You're a pirate, huh?	さて... かいぞくなんだろ？	dialogue	'Beedy-eye' Jones	Player
It's what it says on my pay-packet at the end of the month.	げつまつのきゅうりょうめいさいにそうしょいてあるんだ。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
How's that working out for you?	どうだ、うまくいっているか？	dialogue	'Beedy-eye' Jones	Player
Pretty good so far. All the grog and loot that we can plunder, plus full medical including dental.	ここまではかなりいい。グロッグとせんりひんはすべてりゃくだつできるし、しかをふくみむいりょうひもぜんがくしきゅうされる。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You mean you have insurance?	ほけんにいりってるってこと？	dialogue	'Beedy-eye' Jones	Player
