english	translation	category	sub_category	source
You can now use the Falador Agility shortcut and the Shayzien basic course.	ファラドールのアジリティショートカットとシャイジアンのきほんコースがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
Members can cross the River Lum to Al Kharid and back by using a mithril grapple.	メンバーはミスリルグラップルをつかってラムかわをわたってアルカリドへいきもどることができます。	lvl_up_msg	Agility	Agility level up messages
You can now cross the rope swing to Moss Giant Island and use the Corsair Cove shortcut.	ロープスウィングでモスジャイアントアイランドにわたってコルセアコーブのショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
Members can scale Falador south wall with a mithril grapple.	メンバーはミスリルグラップルでファラドールのみなみのかべをのぼることができます。	lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stones in Karamja Dungeon.	からむじゃ ダンジョン の ステッピング ストーン を つかえるように なった。	lvl_up_msg	Agility	Agility level up messages
You can now jump the fence south of Varrock.	バロックのみなみのさくをとべるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the monkey bars under Edgeville and the Corsair Cove Dungeon shortcut.	エッジビルのしたのさるあみあがりとコルセアコーブダンジョンのショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Yanille Agility shortcut.	ヤニルアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use a Kourend Catacombs Agility shortcut.	クレンドカタコムスのアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Al Kharid course, pass medium level Agility Arena obstacles and cross the coal truck log balance agility shortcut.	アルカリドコース、ちゅうどレベルのアジリティアリーナのしょうがいをのりこえて、すみころがしたきわたりショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Grand Exchange Agility shortcut.	グランドエクスチェンジのアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon.	カラムジャダンジョンのパイプのたいせつながつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
Members can scale the Observatory cliff with a mithril grapple.	メンバーはミスリルグラップルでかんそくしょのがけをのぼることができます。	lvl_up_msg	Agility	Agility level up messages
You can now enter the Werewolf Skullball Course and use the cliffside scramble shortcut to get up Eagles' Peak.	オオカミスカルボールコースにはいって、イーグルズピークにのぼるためのがけあがりショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Falador Agility shortcut.	ファラドールのアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Kourent Catacombs pillar jump Agility shortcut.	クレンドカタコムスのはしらとびアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the lower cliffside climb by Mount Karuulm.	マウントカルムちかくのしたのがけあがりがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Agility Pyramid, the Varrock course, the Stepping stones in south eastern Karamja and the Corsair Cove Resource Area shortcut. You can also use the Penguin Agility Course if you have begun the Cold War quest.	アジリティピラミッド、バロックコース、みなみひがしカラムジャのとびいし、コルセアコーブリソースエリアショートカットがつかえるようになりました。コールドウォークエストをはじめていれば、ペンギンアジリティコースもつかえます。	lvl_up_msg	Agility	Agility level up messages
You can now use the Draynor Manor stones to Champions' guild Agility shortcut.	ドレイノーマナーのいしからチャンピオンズギルドへのアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
Members can now use the Shilo Village river crossing.	メンバーはシーロビレッジのかわわたりがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use Ardougne log balance Agility shortcut.	アードゥーニュのこわたりアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe contortion in Karamja Dungeon and a Kourend Catacombs Agility shortcut.	カラムジャダンジョンのパイプのたいせつとクレンドカタコムスのアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now enter the Barbarian Agility Course.	バーバリアンアジリティコースにはいれるようになりました。	lvl_up_msg	Agility	Agility level up messages
Members can get off the water obelisk island near Catherby with a mithril grapple.	メンバーはミスリルグラップルでキャサビーちかくのみずのおべりすくじまからおりられます。	lvl_up_msg	Agility	Agility level up messages
You can now use the Gnome Stronghold Agility shortcut.	ノームようさいのアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use Al Kharid mining pit cliffside scramble Agility shortcut.	アルカリドさいくつピットのがけあがりアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
Members can scale Yanile south wall by using a mithril grapple.	メンバーはミスリルグラップルでヤナイルのみなみのかべをのぼることができます。	lvl_up_msg	Agility	Agility level up messages
You can now use the Canifis course, pass high level Agility Arena obstacles and use the Hosidius lake isle jump Agility shortcut.	カニフィスコース、こうレベルのアジリティアリーナのしょうがいをのりこえて、ホシディウスこみずしまとびショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim easy cliffside scramble Agility shortcut.	トロールハイムかんたんがけあがりアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use Dwarven mine narrow crevice Agility shortcut and climb the wall at Draynor toward Port Sarim.	ドワーフのさいくつばのせまいすきまアジリティショートカットとドレイノーのかべのぼりがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim medium cliffside scramble Agility shortcut.	トロールハイムちゅうどがけあがりアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim advanced cliffside scramble.	トロールハイムこうきゅうがけあがりがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Elf area log balance and the Hosidius river jump Agility shorcut.	エルフエリアのこわたりとホシディウスかわとびアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Cosmic Temple medium narrow walkway Agility shortcut.	コスミックテンプルちゅうどせまいろうかアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use Trollheim hard cliffside scramble.	トロールハイムむずかしいがけあがりがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Ape Atoll Agility Course, the Shayzien advanced course and the log balance to Fremennik Province Agility shortcut.	エイプアトールアジリティコース、シャイジアンこうきゅうコース、フレメニックしょうへのこわたりアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now equip Crystal Equipment, access the Falador course and cross the stepping stone near the Nature Grotto.	クリスタルそうびができるようになって、ファラドールコースにアクセスして、ネイチャーグロットちかくのとびいしをわたることができます。	lvl_up_msg	Agility	Agility level up messages
You can now use the pipe from Edgeville dungeon to Varrock sewers Agility shortcut.	エッジビルダンジョンからバロックげすいろへのパイプアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now enter the Wilderness Agility Course, enter Floor 1 of the Hallowed Sepulchre and use the eastern scramble at the Arceuus essence mine.	ウィルダネスアジリティコースにはいって、ハロードセピュルクレの1かいにはいって、アルセウスエッセンスさいくつばのひがしがけあがりがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
Members can take a shortcut south of the volcano on the island of Karamja by using a mithril grapple.	メンバーはミスリルグラップルでカラムジャじまのかざんみなみのショートカットがつかえます。	lvl_up_msg	Agility	Agility level up messages
You can now use the Motherlode Mine dark tunnel shortcut.	マザーロードマインのくらいトンネルショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the stepping stone by Miscellania docks.	ミセラニアのふとうちかくのとびいしがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the rock climb in the  Temple of the Eye.	め の しんでん の ろっく くらいむ を つかえるように なった。	lvl_up_msg	Agility	Agility level up messages
You can now jump over the eastern Rellekka fence.	レルカのひがしのさくをとべるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Elven Overpass easy cliffside scramble Agility shortcut.	エルフオーバーパスかんたんがけあがりアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Werewolf and Seers' Village courses, jump the pillars in the Wintertodt's prison, access the God Wars Dungeon via the Agility route, jump the estuary across Mos Le'Harmless and the	オオカミとシーアーズビレッジコース、ウィンタートッドのろうにんのはしらとび、アジリティルートでゴッドウォーズダンジョンにアクセス、モスレハーレスのえんかいをとぶショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Slayer tower medium spiked chain climb Agility shortcut.	スレイヤータワーちゅうどてつのくさりのぼりアジリティショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now enter Floor 2 of the Hallowed Sepulchre, use the Slayer Dungeon narrow crevice shortcut, the stepping stones in the Necropolis and the upper cliffside climb by Mount Karuulm.	ハロードセピュルクレの2かいにはいって、スレイヤーダンジョンのせまいすきまショートカット、ネクロポリスのとびいし、マウントカルムのうえのがけのぼりがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Taverley dungeon lesser demon fence Agility shortcut and the Darkmeyer wall shortcut.	タバリーダンジョンのおにさくアジリティショートカットとダークマイヤーのかべショートカットがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
You can now use the Trollheim Wilderness Agility shortcut and the Rope to the Fossil Island Volcano.	トロールハイムウィルダネスアジリティショートカットとかせきじまのかざんへのロープがつかえるようになりました。	lvl_up_msg	Agility	Agility level up messages
