english	translation	category	sub_category	source
Big mysterious crate. You wonder what could be inside.	おおきなふしぎなはこ。なかになにがあるのかな。	examine	object	Crate
Looks and smells like a place where goblins live.	ゴブリンがすむばしょみたいだ。においもそうだ。	examine	object	Cave Entrance
The door is closed.	ドアはしまっている。	examine	object	Door
A powerful ranging device, unfortunately not working.	きょうりょくなえんきょりこうげきそうち、ざんねんながらこわれている。	examine	object	Broken multicannon
A powerful ranging device that fires metal balls.	きんぞくだまをうつきょうりょくなこうげきそうちだ。	examine	object	Dwarf multicannon
The cannon is built on here.	たいほうはここにくまれている。	examine	object	Cannon base
The mounting for the multicannon.	マルチキャノンのマウントだ。	examine	object	Cannon stand
The barrels of the multicannon.	マルチキャノンのほうしんだ。	examine	object	Cannon barrels
I can climb down this.	ここからおりることができる。	examine	object	Ladder
I can climb up this.	ここへのぼることができる。	examine	object	Ladder
A pile of rocks is blocking my path.	がんせきのやまが、みちをふさいでいる。	examine	object	Rock pile
Mud caved in from above.	うえからどろがおちてきた。	examine	object	Mud pile
Intended to keep the goblins away from the mines.	ゴブリンをこうざんからあぞかすためのものだ。	examine	object	Railing
A broken rail.	こわれたレールだ。	examine	object	Railing
Its eyes stare off into the distance...	そのめは、とおくをみつめている。	examine	object	Mysterious statue
The door is shut.	ドアはしまっている。	examine	object	Door
Unusually lumpy looking.	へんなまるいかたちだ。	examine	object	Sacks
Seems to be some kind of clock part.	とけいのぶひんみたいだ。	examine	object	Clock spindle
Yup, definitely a lever.	うん、たしかにレバーだ。	examine	object	Lever
Stops people walking past.	ひとがとおるのをとめる。	examine	object	Gate
Animals have no table manners.	どうぶつはテーブルのマナーがない。	examine	object	Food trough
Looks like an outlet pipe to the lake.	みずうみへのパイプのおわりみたいだ。	examine	object	Wall Pipe
I can see fish swimming in the water.	さかなが、みずのなかをおよいでいるのがみえる。	examine	object	Fishing spot
It seems to sparkle.	ぴかぴかしているみたいだ。	examine	object	Water
I can see really big fish swimming in the water.	おおきなさかなが、みずのなかをおよいでいるのがみえる。	examine	object	Fishing spot
Big Dave is fishing here.	ビッグデイブがここでつりをしている。	examine	object	Fishing spot
Joshua is fishing here.	ジョシュアがここでつりをしている。	examine	object	Fishing spot
A wooden gate.	もくせいのもん。	examine	object	Gate
Hmmm... I wonder if it's loose enough to get through.	ふむふむ。これでとおれるほどゆるいかなあ。	examine	object	Loose Railing
It's locked.	かぎがかかっている。	examine	object	Gate
It's a flight of stairs.	かいだんだ。	examine	object	Stairs
Known commonly as Red worm vine.	あかいみみずのツルとしてしられている。	examine	object	Vine
A fancy hole in the wall.	かべの、ぼったくりなあなだ。	examine	object	Door
A fancy hole in the ceiling.	てんじょうの、ぼったくりなあなだ。	examine	object	Ladder
A shrine to chaos.	こんとんのしゃしんだ。	examine	object	Chaos altar
Is there something in there?	あのなかに、なにかあるのかな。	examine	object	Giant crystal
Used for storage.	しまうのに、つかうはこだ。	examine	object	Crate
Where bees live.	ハチがすむばしょだ。	examine	object	Beehive
Handy for boarding boats.	ふねにのるときに、つかえるなあ。	examine	object	Gangplank
Sturdy looking door.	じょうぶそうなドアだ。	examine	object	Large door
Securely fastened shut.	しっかりと、しまっている。	examine	object	Large door
I wonder what's inside...	なかに、なにがあるのかな。	examine	object	Chest
Looks secure.	あんぜんそうだ。	examine	object	Prison Gate
Seems very old...	とてもふるいみたいだ。	examine	object	Lever bracket
I guess you pull it...	これを、ひくのだろう。	examine	object	Lever
A wrought iron gate.	じゅうてつでつくったゲートだ。	examine	object	Gate
I don't like the look of this!	このかっこうは、きにいらないなあ！	examine	object	Lever
A dark flight of stairs.	くらいかいだんだ。	examine	object	Stairs
